NTEE CODE LETTER,NTEE CODE DESCRIPTION,NTEE_CD,NTEE CODE TAXONOMY
Q,"International, Foreign Affairs and National Security",Q21,International Cultural Exchange         
Q,"International, Foreign Affairs and National Security",Q22,International Student Exchange and Aid       
Q,"International, Foreign Affairs and National Security",Q23,"International Exchanges, N.E.C.         "
Q,"International, Foreign Affairs and National Security",Q30,"International Development, Relief Services        "
Q,"International, Foreign Affairs and National Security",Q31,International Agricultural Development           
Q,"International, Foreign Affairs and National Security",Q32,International Economic Development         
Q,"International, Foreign Affairs and National Security",Q33,International Relief          
Q,"International, Foreign Affairs and National Security",Q40,International Peace and Security        
Q,"International, Foreign Affairs and National Security",Q41,"Arms Control, Peace Organizations        "
Q,"International, Foreign Affairs and National Security",Q42,United Nations Association         
Q,"International, Foreign Affairs and National Security",Q43,"National Security, Domestic         "
Q,"International, Foreign Affairs and National Security",Q70,International Human Rights         
Q,"International, Foreign Affairs and National Security",Q71,"International Migration, Refugee Issues        "
Q,"International, Foreign Affairs and National Security",Q99,"International, Foreign Affairs, and National Security N.E.C.     "
R,"Civil Rights, Social Action, Advocacy",R01,Alliance/Advocacy Organizations          
R,"Civil Rights, Social Action, Advocacy",R02,Management & Technical Assistance        
R,"Civil Rights, Social Action, Advocacy",R03,"Professional Societies, Associations         "
R,"Civil Rights, Social Action, Advocacy",R05,Research Institutes and/or Public Policy Analysis      
R,"Civil Rights, Social Action, Advocacy",R11,Single Organization Support         
R,"Civil Rights, Social Action, Advocacy",R12,Fund Raising and/or Fund Distribution       
R,"Civil Rights, Social Action, Advocacy",R19,Nonmonetary Support N.E.C.         
R,"Civil Rights, Social Action, Advocacy",R20,"Civil Rights, Advocacy for Specific Groups      "
R,"Civil Rights, Social Action, Advocacy",R22,Minority Rights          
R,"Civil Rights, Social Action, Advocacy",R23,Disabled Persons' Rights         
R,"Civil Rights, Social Action, Advocacy",R24,Women's Rights          
R,"Civil Rights, Social Action, Advocacy",R25,Seniors' Rights          
R,"Civil Rights, Social Action, Advocacy",R26,"Lesbian, Gay Rights         "
R,"Civil Rights, Social Action, Advocacy",R30,"Intergroup, Race Relations         "
R,"Civil Rights, Social Action, Advocacy",R40,"Voter Education, Registration         "
R,"Civil Rights, Social Action, Advocacy",R60,Civil Liberties Advocacy         
R,"Civil Rights, Social Action, Advocacy",R61,Reproductive Rights          
R,"Civil Rights, Social Action, Advocacy",R62,Right to Life         
R,"Civil Rights, Social Action, Advocacy",R63,"Censorship, Freedom of Speech and Press Issues     "
R,"Civil Rights, Social Action, Advocacy",R67,"Right to Die, Euthanasia Issues       "
R,"Civil Rights, Social Action, Advocacy",R99,"Civil Rights, Social Action, Advocacy N.E.C.      "
S,"Community Improvement, Capacity Building",S01,Alliance/Advocacy Organizations          
S,"Community Improvement, Capacity Building",S02,Management & Technical Assistance        
S,"Community Improvement, Capacity Building",S03,"Professional Societies, Associations         "
S,"Community Improvement, Capacity Building",S05,Research Institutes and/or Public Policy Analysis      
S,"Community Improvement, Capacity Building",S11,Single Organization Support         
S,"Community Improvement, Capacity Building",S12,Fund Raising and/or Fund Distribution       
S,"Community Improvement, Capacity Building",S19,Nonmonetary Support N.E.C.         
S,"Community Improvement, Capacity Building",S20,"Community, Neighborhood Development, Improvement (General)       "
S,"Community Improvement, Capacity Building",S21,Community Coalitions          
S,"Community Improvement, Capacity Building",S22,"Neighborhood, Block Associations         "
S,"Community Improvement, Capacity Building",S30,Economic Development          
S,"Community Improvement, Capacity Building",S31,"Urban, Community Economic Development        "
S,"Community Improvement, Capacity Building",S32,Rural Development          
S,"Community Improvement, Capacity Building",S40,Business and Industry         
S,"Community Improvement, Capacity Building",S41,Promotion of Business         
S,"Community Improvement, Capacity Building",S43,"Management Services for Small Business, Entrepreneurs      "
S,"Community Improvement, Capacity Building",S46,Boards of Trade         
S,"Community Improvement, Capacity Building",S47,Real Estate Organizations         
S,"Community Improvement, Capacity Building",S50,Nonprofit Management          
S,"Community Improvement, Capacity Building",S80,Community Service Clubs         
S,"Community Improvement, Capacity Building",S81,Women's Service Clubs         
S,"Community Improvement, Capacity Building",S82,Men's Service Clubs         
S,"Community Improvement, Capacity Building",S99,"Community Improvement, Capacity Building N.E.C.       "
T,"Philanthropy, Voluntarism and Grantmaking Foundations",T01,Alliance/Advocacy Organizations          
T,"Philanthropy, Voluntarism and Grantmaking Foundations",T02,Management & Technical Assistance        
T,"Philanthropy, Voluntarism and Grantmaking Foundations",T03,"Professional Societies, Associations         "
T,"Philanthropy, Voluntarism and Grantmaking Foundations",T05,Research Institutes and/or Public Policy Analysis      
T,"Philanthropy, Voluntarism and Grantmaking Foundations",T11,Single Organization Support         
T,"Philanthropy, Voluntarism and Grantmaking Foundations",T12,Fund Raising and/or Fund Distribution       
T,"Philanthropy, Voluntarism and Grantmaking Foundations",T19,Nonmonetary Support N.E.C.         
T,"Philanthropy, Voluntarism and Grantmaking Foundations",T20,Private Grantmaking Foundations         
T,"Philanthropy, Voluntarism and Grantmaking Foundations",T21,Corporate Foundations          
T,"Philanthropy, Voluntarism and Grantmaking Foundations",T22,Private Independent Foundations         
T,"Philanthropy, Voluntarism and Grantmaking Foundations",T23,Private Operating Foundations         
T,"Philanthropy, Voluntarism and Grantmaking Foundations",T30,Public Foundations          
T,"Philanthropy, Voluntarism and Grantmaking Foundations",T31,Community Foundations          
T,"Philanthropy, Voluntarism and Grantmaking Foundations",T40,Voluntarism Promotion          
T,"Philanthropy, Voluntarism and Grantmaking Foundations",T50,"Philanthropy, Charity, Voluntarism Promotion, General       "
T,"Philanthropy, Voluntarism and Grantmaking Foundations",T70,Fund Raising Organizations That Cross Categories      
T,"Philanthropy, Voluntarism and Grantmaking Foundations",T90,Named Trusts/Foundations N.E.C.         
T,"Philanthropy, Voluntarism and Grantmaking Foundations",T99,"Philanthropy, Voluntarism, and Grantmaking Foundations N.E.C.      "
U,"Science and Technology Research Institutes, Services",U01,Alliance/Advocacy Organizations          
U,"Science and Technology Research Institutes, Services",U02,Management & Technical Assistance        
U,"Science and Technology Research Institutes, Services",U03,"Professional Societies, Associations         "
U,"Science and Technology Research Institutes, Services",U05,Research Institutes and/or Public Policy Analysis      
U,"Science and Technology Research Institutes, Services",U11,Single Organization Support         
U,"Science and Technology Research Institutes, Services",U12,Fund Raising and/or Fund Distribution       
U,"Science and Technology Research Institutes, Services",U19,Nonmonetary Support N.E.C.         
U,"Science and Technology Research Institutes, Services",U20,"Science, General          "
U,"Science and Technology Research Institutes, Services",U21,Marine Science and Oceanography        
U,"Science and Technology Research Institutes, Services",U30,"Physical Sciences, Earth Sciences Research and Promotion     "
U,"Science and Technology Research Institutes, Services",U31,Astronomy           
U,"Science and Technology Research Institutes, Services",U33,"Chemistry, Chemical Engineering         "
U,"Science and Technology Research Institutes, Services",U34,Mathematics           
U,"Science and Technology Research Institutes, Services",U36,Geology           
U,"Science and Technology Research Institutes, Services",U40,"Engineering and Technology Research, Services       "
U,"Science and Technology Research Institutes, Services",U41,Computer Science          
U,"Science and Technology Research Institutes, Services",U42,Engineering           
U,"Science and Technology Research Institutes, Services",U50,"Biological, Life Science Research        "
U,"Science and Technology Research Institutes, Services",U99,"Science and Technology Research Institutes, Services N.E.C.     "
V,"Social Science Research Institutes, Services",V01,Alliance/Advocacy Organizations          
V,"Social Science Research Institutes, Services",V02,Management & Technical Assistance        
V,"Social Science Research Institutes, Services",V03,"Professional Societies, Associations         "
V,"Social Science Research Institutes, Services",V05,Research Institutes and/or Public Policy Analysis      
V,"Social Science Research Institutes, Services",V11,Single Organization Support         
V,"Social Science Research Institutes, Services",V12,Fund Raising and/or Fund Distribution       
V,"Social Science Research Institutes, Services",V19,Nonmonetary Support N.E.C.         
V,"Social Science Research Institutes, Services",V20,"Social Science Institutes, Services        "
V,"Social Science Research Institutes, Services",V21,"Anthropology, Sociology          "
V,"Social Science Research Institutes, Services",V22,Economics (as a social science)       
V,"Social Science Research Institutes, Services",V23,Behavioral Science          
V,"Social Science Research Institutes, Services",V24,Political Science          
V,"Social Science Research Institutes, Services",V25,Population Studies          
V,"Social Science Research Institutes, Services",V26,"Law, International Law, Jurisprudence        "
V,"Social Science Research Institutes, Services",V30,Interdisciplinary Research          
V,"Social Science Research Institutes, Services",V31,Black Studies          
V,"Social Science Research Institutes, Services",V32,Women's Studies          
V,"Social Science Research Institutes, Services",V33,Ethnic Studies          
V,"Social Science Research Institutes, Services",V34,Urban Studies          
V,"Social Science Research Institutes, Services",V35,International Studies          
V,"Social Science Research Institutes, Services",V36,Gerontology (as a social science)       
V,"Social Science Research Institutes, Services",V37,Labor Studies          
V,"Social Science Research Institutes, Services",V99,"Social Science Research Institutes, Services N.E.C.      "
W,"Public, Society Benefit = Multipurpose and Other",W01,Alliance/Advocacy Organizations          
W,"Public, Society Benefit = Multipurpose and Other",W02,Management & Technical Assistance        
W,"Public, Society Benefit = Multipurpose and Other",W03,"Professional Societies, Associations         "
W,"Public, Society Benefit = Multipurpose and Other",W05,Research Institutes and/or Public Policy Analysis      
W,"Public, Society Benefit = Multipurpose and Other",W11,Single Organization Support         
W,"Public, Society Benefit = Multipurpose and Other",W12,Fund Raising and/or Fund Distribution       
W,"Public, Society Benefit = Multipurpose and Other",W19,Nonmonetary Support N.E.C.         
W,"Public, Society Benefit = Multipurpose and Other",W20,Government and Public Administration        
W,"Public, Society Benefit = Multipurpose and Other",W22,"Public Finance, Taxation, Monetary Policy       "
W,"Public, Society Benefit = Multipurpose and Other",W24,Citizen Participation          
W,"Public, Society Benefit = Multipurpose and Other",W30,"Military, Veterans' Organizations         "
W,"Public, Society Benefit = Multipurpose and Other",W40,"Public Transportation Systems, Services        "
W,"Public, Society Benefit = Multipurpose and Other",W50,"Telephone, Telegraph and Telecommunication Services       "
W,"Public, Society Benefit = Multipurpose and Other",W60,"Financial Institutions, Services (Non-Government Related)       "
W,"Public, Society Benefit = Multipurpose and Other",W61,Credit Unions          
W,"Public, Society Benefit = Multipurpose and Other",W70,Leadership Development          
W,"Public, Society Benefit = Multipurpose and Other",W80,Public Utilities          
W,"Public, Society Benefit = Multipurpose and Other",W90,"Consumer Protection, Safety         "
W,"Public, Society Benefit = Multipurpose and Other",W99,"Public, Society Benefit - Multipurpose and Other N.E.C.    "
X,"Religion-Related, Spiritual Development",X01,Alliance/Advocacy Organizations          
X,"Religion-Related, Spiritual Development",X02,Management & Technical Assistance        
X,"Religion-Related, Spiritual Development",X03,"Professional Societies, Associations         "
X,"Religion-Related, Spiritual Development",X05,Research Institutes and/or Public Policy Analysis      
X,"Religion-Related, Spiritual Development",X11,Single Organization Support         
X,"Religion-Related, Spiritual Development",X12,Fund Raising and/or Fund Distribution       
X,"Religion-Related, Spiritual Development",X19,Nonmonetary Support N.E.C.         
X,"Religion-Related, Spiritual Development",X20,Christian           
X,"Religion-Related, Spiritual Development",X21,Protestant           
X,"Religion-Related, Spiritual Development",X22,Roman Catholic          
X,"Religion-Related, Spiritual Development",X30,Jewish           
X,"Religion-Related, Spiritual Development",X40,Islamic           
X,"Religion-Related, Spiritual Development",X50,Buddhist           
X,"Religion-Related, Spiritual Development",X70,Hindu           
X,"Religion-Related, Spiritual Development",X80,"Religious Media, Communications Organizations        "
X,"Religion-Related, Spiritual Development",X81,"Religious Film, Video         "
X,"Religion-Related, Spiritual Development",X82,Religious Television          
X,"Religion-Related, Spiritual Development",X83,"Religious Printing, Publishing         "
X,"Religion-Related, Spiritual Development",X84,Religious Radio          
X,"Religion-Related, Spiritual Development",X90,Interfaith Issues          
X,"Religion-Related, Spiritual Development",X99,"Religion Related, Spiritual Development N.E.C.       "
Y,"Mutual/Membership Benefit Organizations, Other",Y01,Alliance/Advocacy Organizations          
Y,"Mutual/Membership Benefit Organizations, Other",Y02,Management & Technical Assistance        
Y,"Mutual/Membership Benefit Organizations, Other",Y03,"Professional Societies, Associations         "
Y,"Mutual/Membership Benefit Organizations, Other",Y05,Research Institutes and/or Public Policy Analysis      
Y,"Mutual/Membership Benefit Organizations, Other",Y11,Single Organization Support         
Y,"Mutual/Membership Benefit Organizations, Other",Y12,Fund Raising and/or Fund Distribution       
Y,"Mutual/Membership Benefit Organizations, Other",Y19,Nonmonetary Support N.E.C.         
Y,"Mutual/Membership Benefit Organizations, Other",Y20,"Insurance Providers, Services         "
Y,"Mutual/Membership Benefit Organizations, Other",Y22,"Local Benevolent Life Insurance Associations, Mutual Irrigation and Telephone Companies, and Like"
Y,"Mutual/Membership Benefit Organizations, Other",Y23,Mutual Insurance Company or Association       
Y,"Mutual/Membership Benefit Organizations, Other",Y24,Supplemental Unemployment Compensation         
Y,"Mutual/Membership Benefit Organizations, Other",Y25,State-Sponsored Worker's Compensation Reinsurance Organizations       
Y,"Mutual/Membership Benefit Organizations, Other",Y30,Pension and Retirement Funds        
Y,"Mutual/Membership Benefit Organizations, Other",Y33,Teachers Retirement Fund Association        
Y,"Mutual/Membership Benefit Organizations, Other",Y34,Employee Funded Pension Trust        
Y,"Mutual/Membership Benefit Organizations, Other",Y35,Multi-Employer Pension Plans         
Y,"Mutual/Membership Benefit Organizations, Other",Y40,Fraternal Beneficiary Societies         
Y,"Mutual/Membership Benefit Organizations, Other",Y42,Domestic Fraternal Societies         
Y,"Mutual/Membership Benefit Organizations, Other",Y43,Voluntary Employees Beneficiary Associations (Non-Government)       
Y,"Mutual/Membership Benefit Organizations, Other",Y44,Voluntary Employees Beneficiary Associations (Government)       
Y,"Mutual/Membership Benefit Organizations, Other",Y50,"Cemeteries, Burial Services         "
Y,"Mutual/Membership Benefit Organizations, Other",Y99,"Mutual/Membership Benefit Organizations, Other N.E.C.       "
Z,Unknown,Z99,Unknown           
